Label	Definition
Die Swell [dik]	difference between the dimensions of the cross-section of an extrudate and the corresponding dimensions of the die orifice, usually quantified as the percentage increase in the crosssectional area
Surface [ncit]	The extended two-dimensional outer boundary of a three-dimensional object.
Pressure [pato]	A physical quality that inheres in a bearer by virtue of the bearer's amount of force per unit area it exerts.
Pressure [om]	Pressure is the force applied to or distributed over a surface. It is a derived quantity in the International System of Units. Pressure is force divided by area.
Sensor [sosa]	Device, agent (including humans), or software (simulation) involved in, or implementing, a Procedure. Sensors respond to a stimulus, e.g., a change in the environment, or input data composed from the results of prior Observations, and generate a Result. Sensors can be hosted by Platforms.
Sensor [chmo]	A piece of apparatus that is used to measure a physical quantity.
Crosslink Density [dik]	number of crosslinks per unit volume or unit mass of vulcanizate
Vulcanizate [dik]	product of the vulcanization of a rubber compound
Crosslink [dik]	chemical bond or atom(s) joining two rubber chains or two parts of the same rubber chain as a result of vulcanization
Crosslink [ncit]	Any covalent linkage between two polymers or between two different regions of the same polymer.
Crosslinking [dik]	〈act of〉 insertion of crosslinks between or within rubber chains to give a network structure
State of Cure [dik]	condition of a vulcanizate during the course of vulcanization, measured in terms of its structure or properties
Vulcanization [dik]	process, usually involving heat, in which rubber, through a change in its chemical structure (for example, crosslinking), is converted to a condition in which the elastic properties are conferred or re-established or improved or extended over a greater range of temperatures
autoclave [dik]	pressurized vessel used for vulcanizing rubber in a vapour or gas
autoclave [chmo]	A thick-walled steel vessel used during synthesis methods that require both high pressures and high temperatures.
Plateau Cure [dik]	type of vulcanization during which the modulus of the vulcanizate proceeds to a maximum and then remains essentially constant for a substantial period at the vulcanization temperature
Optimum Cure [dik]	condition of vulcanization required to achieve an acceptable compromise among a number of desired vulcanizate properties or the optimum value of a selected property
Overcure [dik]	state of vulcanization beyond the optimum cure
Undercure [dik]	state of vulcanization less than the optimum cure
Sample [dik]	one or more items taken from a lot and intended to provide information on the lot and possibly to serve as a basis for a decision on the lot or on the process which had produced it
Sample [sosa]	Feature which is intended to be representative of a FeatureOfInterest on which Observations may be made.
Sample [nmrcv]	tempdef: A sample is a role that is played by an object of interest in an investigation used to obtain generalizable information about the sample source. defprov: Daniel Schober
Test Piece [dik]	piece of material of appropriate shape and size, prepared so that it is ready for use in a test
Scrap Rubber [dik]	raw, compounded, vulcanized or partially vulcanized rubber in the form of end-of-life rubber products or factory scrap
Factory Scrap [dik]	raw, compounded, vulcanized or partially vulcanized rubber rejected or generated as waste during product manufacture and found unsuitable for further use unless recycled
Physical Object Quality [pato]	A quality of a physical entity that exists through action of continuants at the physical level of organisation in relation to other entities.
Physical Quality [pato]	A quality which inheres in a continuant.
Measurement Unit Label [pato]	A measurement unit label is as a label that is part of a scalar measurement datum and denotes a unit of measure.
Datum Label [iao]	A label is a symbol that is part of some other datum and is used to either partially define the denotation of that datum or to provide a means for identifying the datum as a member of the set of data with the same label
assay [ncit]	A qualitative or quantitative analysis performed to determine the amount of a particular constituent in a sample or the biological or pharmacological properties of a drug.
assay [obi]	A planned process with the objective to produce information about the material entity that is the evaluant, by physically examining it or its proxies.
Density Measurement Assay [dik]	An assay with the objective to produce information about the density of the material entity that is the evaluant, by physically examining it or its proxies.
Mass Density [dik]	mass per unit volume of a material, including any voids present
Mass Density [ncit]	A measure of the compactness of a substance, expressed as its mass per unit volume.
Mass Density [pato]	A physical quality which inheres in a bearer by virtue of some influence is exerted by the bearer's mass per unit size.
Mass Density Unit [uo]	"""A density unit which is a standard measure of the mass of a substance in a given volume."" [UOC:GVG]"
Unit Of Mass Density [ncit]	An indication of the type of unit of measure being used to express a mass density.
Gram Per Cubic Centimeter [uo]	"""A mass unit density which is equal to mass of an object in grams divided by the volume in cubic centimeters."" [UOC:GVG]"
Viscosity Measurement Assay [dik]	An assay with the objective to produce information about the viscosity of the material entity that is the evaluant, by physically examining it or its proxies.
Mooney Viscosity Measurement Assay [dik]	An assay with the objective to produce information about the Mooney viscosity of the material entity that is the evaluant, by physically examining it or its proxies.
Viscosity [ncit]	The resistance of a liquid to sheer forces and flow.
Viscosity [pato]	A physical quality of a fluid inhering in a bearer by virtue of the bearer's disposition to internal resistance to flow.
Mooney Viscosity [dik]	measure of the viscosity of a raw rubber or rubber compound, determined using a Mooney shearing-disc viscometer
Viscosity Unit [uo]	"""A unit which is a standard measure of the internal resistance of fluids to flow."" [UOC:GVG]"
Mooney Viscosity Unit [dik]	A viscosity unit which is a standard measure of the Mooney viscosity.
Quality of a Substance [pato]	A quality inhering in a bearer by virtue of its constitution.
Quality of a Liquid [pato]	A physical quality inhering in an entity exhibiting the physical characteristics of an amorphous (non-crystalline) form of matter between a gas and a solid that has a definite volume, but no definite shape.
Protocol [ncit]	A rule which guides how an activity should be performed.
Protocol [obi]	A plan specification which has sufficient level of detail and quantitative information to communicate it between investigation agents, so that different investigation agents will reliably be able to independently reproduce the process.
Protocol [edam]	A human-readable collection of information about about how a scientific experiment or analysis was carried out that results in a specific set of data or results used for further analysis or to test a specific hypothesis.
Measurement Protocol [dik]	A protocol which specifies the conditions, procedures, and instruments used for conducting a measurement assay in a sufficient level of detail to communicate it between investigation agents, so that different investigation agents will reliably be able to independently reproduce the measurement assay.
Material Processing Protocol [dik]	A protocol which specifies the conditions, procedures, and instruments used for conducting a material processing in a sufficient level of detail to communicate it between investigation agents, so that different investigation agents will reliably be able to independently reproduce the material processing.
Density Measurement Protocol [dik]	A measurement protocol for reliably reproducing the density measurement assay.
Viscosity Measurement Protocol [dik]	A measurement protocol for reliably reproducing the viscosity measurement assay.
Mooney Viscosity Measurement Protocol [dik]	A viscosity measurement protocol for reliably reproducing the Mooney viscosity measurement assay.
Degree Celsius [ncit]	A unit of temperature of the temperature scale designed so that the freezing point of water is 0 degrees and the boiling point is 100 degrees at standard atmospheric pressure. The current official definition of the Celsius sets 0.01 C to be at the triple point of water and a degree to be 1/273.16 of the difference in temperature between the triple point of water and absolute zero. One degree Celsius represents the same temperature difference as one Kelvin. [ NCI ]
Degree Celsius [uo]	"""A temperature unit which is equal to one kelvin degree. However, they have their zeros at different points. The centigrade scale has its zero at 273.15 K."" [NIST:NIST]"
Degree Celsius [om]	The degree Celsius is a unit of temperature defined as 1 kelvin. The degree Celsius is a derived unit in the International System of Units.
Material Processing [obi]	A planned process which results in physical changes in a specified input material
Function [ncit]	The normal action performed by a structure or device.
Function [mi]	Biological function of a participant or of an interaction.
Device [ncit]	An object contrived for a specific purpose.
Device [obi]	A material entity that is designed to perform a function in a scientific investigation, but is not a reagent.
Measurement Device [ncit]	Any device used to determine the dimension of an object.
Measurement Device [obi]	A device in which a measure function inheres.
Processed Material [obi]	Is a material entity that is created or changed during material processing.
Mixing [chmo]	The combining of components, particles or layers into a more homogeneous state. The mixing may be achieved manually or mechanically by shifting the material with stirrers or pumps or by revolving or shaking the container. The process μst not permit segregation of particles of different size or properties. Homogeneity may be considered to have been achieved in a practical sense when the sampling error of the processed portion is negligible compared to the total error of the measurement system. [ https://doi.org/10.1351/goldbook.M03945 ]
mix	To bring or combine together or with something else; add as an additional element or part.
Iodine Adsorption Number [dik]	Number of grams of iodine adsorbed per kilogram of carbon black under specified conditions
Oil Absorption Number [dik]	The oil absorption number of a carbon black is related to the processing and vulcanizate properties of rubber compounds containing the carbon black
Kinematic Viscosity [dik]	Kinematic viscosity is the quotient of the dynamic viscosity of the medium and its density.
Kinematic Viscosity [uo]	The ratio of the dynamic viscosity (μ) over the density of the fluid (ρ), which is noted as (length)^2/time. https://en.wikipedia.org/wiki/Viscosity#Kinematic_viscosity
Molecular Weight [mi]	Molecular weight in g/mol, determined from molecular formula or sequence.
Complex Shear Modulus [dik]	ratio of the shear stress to the shear strain, where each can be represented by a complex number
Complex Young’s Modulus [dik]	ratio of the normal stress to the normal strain, where each can be represented by a complex number
Elastic Shear Modulus [dik]	that component of an applied shear stress which is in phase with the shear strain, divided by the strain
Elastic Young’s Modulus [dik]	that component of an applied normal stress which is in phase with the normal strain, divided by the strain
Loss Shear Modulus [dik]	that component of an applied shear stress which is in quadrature (90° out of phase) with the shear strain, divided by the strain
Loss Young’s Modulus [dik]	that component of an applied normal stress which is in quadrature (90° out of phase) with the normal strain, divided by the strain
Modulus [dik]	measure of stiffness under specified conditions of deformation
Tan Delta [dik]	ratio of the viscous modulus to the elastic modulus
Oscillating-Disc Curemeter [dik]	type of curemeter in which the force applied to the rubber compound is produced by an oscillating disc embedded in a test sample which is contained under pressure in a sealed cavity
Rotorless Curemeter [dik]	type of curemeter in which the force applied to the rubber compound is produced by the oscillation of one of the two dies forming the cavity in which the test sample is enclosed
Vulcameter [dik]	device that measures the progress of vulcanization in a test sample at the vulcanizing temperature
Platen Press [dik]	press having two or more super-imposed heated platens between which moulds are pressed
Platen [dik]	flat metal plate (or chest) which applies heat and pressure to one or more mould(s) in a press
Concentration Measurement Assay [dik]	An assay with the objective to produce information about the concentration of a specific substance in the material entity that is the evaluant, by physically examining it or its proxies.
Ethylene Concentration Measurement Assay [dik]	A concentration measurement assay with the objective to produce information about the concentration of ethylene in the material entity that is the evaluant, by physically examining it or its proxies.
Ethylidene Norbornene Concentration Measurement Assay [dik]	A concentration measurement assay with the objective to produce information about the concentration of ethylidene norbornene in the material entity that is the evaluant, by physically examining it or its proxies.
Molecular Weight Distribution Measurement Assay [dik]	An assay with the objective to produce information about the molecular weight distribution of the material entity that is the evaluant, by physically examining it or its proxies.
Concentration Measurement Protocol [dik]	A measurement protocol for reliably reproducing the concentration measurement assay.
Ethylene Concentration Measurement Protocol [dik]	A concentration measurement protocol for reliably reproducing the ethylene concentration measurement assay.
Ethylidene Norbornene Concentration Measurement Protocol [dik]	A concentration measurement protocol for reliably reproducing the ethylidene norbornene concentration measurement assay.
Molecular Weight Distribution Measurement Protocol [dik]	A measurement protocol for reliably reproducing the molecular weight distribution measurement assay.
organodiyl group [chebi]	Any organic substituent group, regardless of functional type, having two free valences at carbon atom(s).
organic group [chebi]	Any substituent group or skeleton containing carbon.
group [ncit]	Any number of entities (members) considered as a unit.
group [chebi]	A defined linked collection of atoms or a single atom within a molecular entity.
Percent [uo]	"""A dimensionless ratio unit which denotes numbers as fractions of 100."" [Wikipedia:Wikipedia]"
Percent [om]	The percent is a unit of dimension one defined as 1/100.
Ratio [ncit]	Quotient of quantities of the same kind for different components within the same system.
Ratio [uo]	"""A dimensionless ratio unit which, given a pair of quantities a and b, for which b is a multiple of a, denotes b by giving the multiplier (coefficient) c for a to result in b."" [UOB:LKSR]"
Ratio [uo]	"""A dimensionless unit which denotes an amount or magnitude of one quantity relative to another."" [Wikipedia:Wikipedia]"
Ratio [ms]	A ratio is a data item which is formed with two numbers r and s is written r/s, where r is the numerator and s is the denominator. The ratio of r to s is equivalent to the quotient r/s.
Dimensionless Unit [ms]	"""A unit which is a standard measure of physical quantity consisting of only a numerical number without any units."" [Wikipedia:Wikipedia]"
Mass Percentage [uo]	"""A dimensionless concentration unit which denotes the mass of a substance in a mixture as a percentage of the mass of the entire mixture."" [Wikipedia:Wikipedia]"
Volume Percentage [uo]	"""A dimensionless concentration unit which denotes the volume of the solute in mL per 100 mL of the resulting solution."" [UOC:GVG]"
Concrentration [pato]	A quality inhering in a substance by virtue of the amount of the bearer's there is mixed with another substance.
Concrentration [edam]	The concentration of a chemical compound.
Concrentration [chmo]	Experimental method output expressing the contribution of one constituent to the composition of a mixture.
Concrentration [ncit]	The quantity of a substance per unit volume or weight; a measure of the amount of substance present in a unit amount of mixture, particularly, the amount of solute dissolved in a solvent. The amounts can be expressed as moles, masses, volumes, or parts.
Concrentration [ecso]	the strength of a solution; number of molecules of a substance in a given volume
Molecular Quality [pato]	A quality which inheres in a molecular entity, a single molecule, atom, ion, radical etc.
Ethylene Concentration [dik]	A concentration of ethylene inhering in a substance by virtue of the amount of the bearer's there is mixed with ethylene.
Ethylidene Norbornene Concentration [dik]	A concentration of ethylidene norbornene inhering in a substance by virtue of the amount of the bearer's there is mixed with ethylidene norbornene.
Quality of a Solid [pato]	A physical quality inhering in a bearer by virtue of the bearer's exhibiting the physical characteristics of an entity characterized by particles arranged such that their shape and volume are relatively stable.
Optical Quality [pato]	An EM radiation quality in which the EM radiation is within the fiat range of the spectrum visible deemed to be light.
Standard Normal Variate (SNV) [ifnano]	Is a transformation applied to spectroscopic data to remove scatter effects by centering and scalling each individual spectrum.
Smmothing [ifnano]	Removing noise or spikes in correlated data such as spectroscopic data using a row-oriented transformation.
Normalization [ifnano]	Scaling spectra in order to get all data on approximately the same scale.
Prediction [ifnano]	Estimation of unknown response values using a regression model.
Butadiene rubber BR [ifnano]	Polybutadiene [butadiene rubber BR] is a synthetic rubber. Polybutadiene rubber is a polymer formed from the polymerization of the monomer 1,3-butadiene. Polybutadiene has a high resistance to wear and is used especially in the manufacture of tires.
Functional group [ifnano]	An atom or group of atoms within a molecule that has similar chemical properties whenever it appears in various compounds. Even if other parts of the molecule are quite different, certain functional groups tend to react in certain ways.
Butyl rubber BIIR [ifnano]	Is a synthetic rubber, a copolymer of isobutylene with isoprene
EPDM rubber [ifnano]	EPDM rubber (ethylene propylene diene monomer rubber) is a type of synthetic rubber that is composed of ethylidene norbornene (ENB), dicyclopentadiene (DCPD), and vinyl norbornene (VNB).
Polyisoprene IR [ifnano]	A synthetic cis-1,4-polyisoprene, made by the industrial polymerisation of isoprene.
Nitrile rubber NBR [ifnano]	Known as nitrile butadiene rubber and acrylonitrile butadiene rubber, is a synthetic rubber derived from acrylonitrile (ACN) and butadiene.
Fluororubber FKM [ifnano]	Is a family of fluorocarbon-based fluoroelastomer materials that contain vinylidene fluoride as a monomer.
Hydrogenated Nitrile rubber HNBR [ifnano]	Highly Saturated Nitrile. A Higher performance solid rubber material than NBR, achieved through adding Hydrogen Atoms to the Butadiene Segments.
Styrene-butadiene rubber SBR [ifnano]	Families of synthetic rubbers derived from styrene and butadiene.
acidity [pato]	A concentration quality inhering in a bearer by virtue of the bearer's containing acid (hydrogen ions).
template class	provide a human-readable definition of the type of entity the class refers to
