,Class,Label,Definition
380,digitrubber#DIGITRUBBER_000225,principal component analysis [edam],A statistical procedure that uses an orthogonal transformation to convert a set of observations of possibly correlated variables into a set of values of linearly uncorrelated variables called principal components.
381,digitrubber#DIGITRUBBER_000226,Photometric Measurement Process [ifnano],Measurement using photometry
382,digitrubber#DIGITRUBBER_000227,Metadata [ifnano],"Metadata are data, which belong to a measurement. They complete the measurment data providing information about the condition under which the measurements have been taken place."
383,digitrubber#DIGITRUBBER_000228,Metadata [ncit],Data about data; information that describes another set of data.
384,digitrubber#DIGITRUBBER_000229,Photometry [ifnano],Measurement method using visible light to analyse the property of a substance
385,digitrubber#DIGITRUBBER_000230,Photometry [ncit],"Measurement of the properties of light, especially luminous intensity."
386,digitrubber#DIGITRUBBER_000231,Colorimetry (chemical method) [ifnano],Determination concentrations using a color chart
387,digitrubber#DIGITRUBBER_000232,Colorimetry [allotrope],The determination of the spectral absorbance of a solution. This method is often used to determine the concentration of a chemical in a solution. [CHMO]
388,digitrubber#DIGITRUBBER_000233,Colorimetry [ncit],An assessment used to quantify and describe the colors within the visible spectrum of light.
389,digitrubber#DIGITRUBBER_000234,Image data [ifnano],Digital representation of an image. Images are represented in natural numbers.
390,digitrubber#DIGITRUBBER_000235,RGB image data [ifnano],"Digital representation of an image using a natural number defining the red, green and blue proportion for each pixel"
391,digitrubber#DIGITRUBBER_000236,Picture grid [ifnano],Commen form of representing a digital picture: The picture is represented as a XY-Grid of Data-Points containing the color and brightness information.
392,digitrubber#DIGITRUBBER_000237,Pixel [ifnano],Element of the picture grid
393,digitrubber#DIGITRUBBER_000238,Pixel [ncit],"The smallest resolvable rectangular area of an image, either on a screen or stored in memory."
394,digitrubber#DIGITRUBBER_000239,Digital image processing [ifnano],The use of a digital computer to process digital images through an algorithm.
395,digitrubber#DIGITRUBBER_000240,Image analysis (Chemometrics) [ifnano],Using image data and eventually digital image processing in order to generate a corellation between this data and an analytical target.
396,digitrubber#DIGITRUBBER_000241,Image analysis [allotrope],Image analysis is the discovering of patterns in an image that are correlated to qualities of the material entity the image represents or of abstract patterns. [Allotrope]
397,digitrubber#DIGITRUBBER_000242,Image analysis [edam],The analysis of a image (typically a digital image) of some type in order to extract information from it.
398,digitrubber#DIGITRUBBER_000243,analytical target [ifnano],"The information represented by one or more variables, which has to be predicted by data analysis in instrumental analytics"
399,digitrubber#DIGITRUBBER_000244,Geometry correction [ifnano],In terms of digtal image procession: correction methods to compensate image errors caused by lense distorsion or perspective.
400,digitrubber#DIGITRUBBER_000245,Linear discriminant analysis [ifnano],"Linear discriminant analysis (LDA), normal discriminant analysis (NDA), or discriminant function analysis is a generalization of Fisher's linear discriminant, a method used in statistics and other fields, to find a linear combination of features that characterizes or separates two or more classes of objects or events."
401,digitrubber#DIGITRUBBER_000246,Supervised learning [ifnano],Machine learning task of learning a function that maps an input to an output based on example input-output pairs.
402,digitrubber#DIGITRUBBER_000247,Supervised learning [obi],A machine learning process using a function that maps an input to an output based on example input-output pairs. It infers a function from labeled training data consisting of a set of training examples.
403,digitrubber#DIGITRUBBER_000248,Unsupervised learning [ifnano],A type of algorithm that learns patterns from untagged data
404,digitrubber#DIGITRUBBER_000249,Unsupervised learning [obi],"A machine learning process that infers a function describing the structure of ""unlabeled"" data (i.e. data that has not been classified or categorized)."
405,digitrubber#DIGITRUBBER_000250,Image histogramm / histogramm [ifnano],A type of histogram that acts as a graphical representation of the tonal distribution in a digital image. It plots the number of pixels for each tonal value.
406,digitrubber#DIGITRUBBER_000251,Color histogramm [ifnano],A multidimensional histogram of the distribution of color in an image
407,digitrubber#DIGITRUBBER_000254,count [ifnano],counting events
408,digitrubber#DIGITRUBBER_000255,count [allotrope],The number of objects counted. [Allotrope]
409,digitrubber#DIGITRUBBER_000256,count [allotrope],A datum that has non-negative integer values that is about the number of discrete things. [Allotrope]
410,digitrubber#DIGITRUBBER_000257,count [ncit],Determining the number or amount of something.
411,digitrubber#DIGITRUBBER_000258,count [ms],a count is a data item denoted by an integer and represented the number of instances or occurences of an entity
412,digitrubber#DIGITRUBBER_000260,arbitrary units,"A single undivided thing (unit) based on or subject to individual judgment or preference, and not by necessity, reason, or principle."
413,digitrubber#DIGITRUBBER_000261,zinc [ifnano],The chemical element zinc
414,digitrubber#DIGITRUBBER_000262,zinc [bwmd],The chemical element zinc
415,digitrubber#DIGITRUBBER_000263,zinc [ncit],"An element with atomic symbol Zn, atomic number 30, and atomic weight 65.39."
416,digitrubber#DIGITRUBBER_000264,zinc [efo],A zinc group element atom that has formula Zn.
417,digitrubber#DIGITRUBBER_000265,Standard deviation [ifnano],A measure of the amount of variation of a set of values.
418,digitrubber#DIGITRUBBER_000266,Standard deviation [allotrope],The standard deviation is a measure of the amount of variation or dispersion of a set of values. [Wikipedia]
419,digitrubber#DIGITRUBBER_000267,baseline correction [ifnano],"A pre-processing technique used to separate true spectroscopic signals from interference effects or remove background effects, stains, or traces of compounds. It adjusts the spectral offset."
420,digitrubber#DIGITRUBBER_000268,Standard deviation [ms],"The standard deviation of a random variable, statistical population, data set, or probability distribution is a measure of variation which correspond to the average distance from the mean of the data set to any given point of that dataset. It also corresponds to the square root of its variance."
421,digitrubber#DIGITRUBBER_000269,Mooney viscosity [ifnano],The viscosity of rubber using a standard test method and Mooney Viscometer.
422,digitrubber#DIGITRUBBER_000270,Monomer [ifnano],"Asubstance which is capable of forming covalent bonds with a
sequence of additional like or unlike molecules under the conditions of the relevant polymerforming reaction used for the particular process"
423,digitrubber#DIGITRUBBER_000271,Monomer [ncit],A chemical subunit that can undergo polymerization by bonding to other subunits.
424,digitrubber#DIGITRUBBER_000272,polymer [ifnano],"a substance consisting of molecules characterised by the sequence of one or more
types of monomer unit. Such molecules must be distributed over a range of molecular weights."
425,digitrubber#DIGITRUBBER_000273,polymer [chebi],"A polymer is a mixture, which is composed of macromolecules of different kinds and which may be differentiated by composition, length, degree of branching etc.."
426,digitrubber#DIGITRUBBER_000276,Polymer Composition [ifnano],The relative proportions of monomers that make up a particular chemical polymer (raw rubber).
427,digitrubber#DIGITRUBBER_000277,Composition [fso],Composition of the material or substance.
428,digitrubber#DIGITRUBBER_000278,Composition [pato],A single physical entity inhering in an bearer by virtue of the bearer's quantities or relative ratios of subparts. [PATO]
429,digitrubber#DIGITRUBBER_000279,Composition [ncit],"The way in which something is made, especially in terms of its different parts; its constituents."
430,digitrubber#DIGITRUBBER_000280,sample [ifnano],"A material entity, which is part of a larger set of the same material entity"
431,digitrubber#DIGITRUBBER_000281,agglomerate [dik],Group of interlocked aggregates that are easily separated by normal rubber processing
432,digitrubber#DIGITRUBBER_000282,aggregate [dik],Rigid group of coalesced particles which is the smallest entity that can be dispersed by normal rubber processing
433,digitrubber#DIGITRUBBER_000283,particle [dik],Smallest discernible spherical or nearly spherical unit which can exist separately
434,digitrubber#DIGITRUBBER_000284,particle [ncit],An object with finite mass and size parameters.
435,digitrubber#DIGITRUBBER_000285,Polymer [dik],substance composed of molecules characterized by the multiple repetition of one or more species of atoms or groups of atoms (constitutional units) linked to each other in amounts sufficient to provide a set of properties that do not vary markedly with the addition or removal of one or a few of the constitutional units
436,digitrubber#DIGITRUBBER_000294,Keltan 5470C [dik],Trade name for a specific EPDM rubber
437,digitrubber#DIGITRUBBER_000295,Filler [dik],"solid compounding ingredient, in particulate form, which may be added in relatively large proportions to a rubber or rubber latex for technical or economic purposes"
438,digitrubber#DIGITRUBBER_000300,N600-Carbon Black [dik],An N carbon black with an average nitrogen surface area of 33 to 39 m²/g.
439,digitrubber#DIGITRUBBER_000301,Corax N660 [dik],Trade name for a specific N600-carbon black
440,digitrubber#DIGITRUBBER_000302,Softener [dik],compounding ingredient used in small proportions to reduce the viscosity of an unvulcanized rubber mix or the hardness of a vulcanizate
441,digitrubber#DIGITRUBBER_000303,Paraffinic Oil [dik],"hydrocarbon process oil, most or all of which is composed of alkanes"
442,digitrubber#DIGITRUBBER_000304,‎P460 [dik],Trade name for a specific paraffinic oil
443,digitrubber#DIGITRUBBER_000305,Process Oil [dik],hydrocarbon oil derived from petroleum or other sources and used as an extender or processing aid
444,digitrubber#DIGITRUBBER_000306,Processing Aid [dik],compounding ingredient which improves the processability of a rubber compound or mix
445,digitrubber#DIGITRUBBER_000307,antidegradant [dik],compounding ingredient used to retard deterioration by ageing
446,digitrubber#DIGITRUBBER_000308,Antilux 500‎ [dik],Trade name for a specific antidegradant
447,digitrubber#DIGITRUBBER_000309,activator [dik],compounding ingredient used in small proportions to increase the effectiveness of an accelerator
448,digitrubber#DIGITRUBBER_000310,activator [ncit],"A class of substances that binds to, activates and increases the activity of a target."
449,digitrubber#DIGITRUBBER_000312,Zinkoxid Rotsiegel [dik],Trade name for a specific zinc oxide
450,digitrubber#DIGITRUBBER_000314,Stearic Acid [ncit],"A saturated long-chain fatty acid with an 18-carbon backbone. Stearic acid is found in various animal and plant fats, and is a major component of cocoa butter and shea butter."
451,digitrubber#DIGITRUBBER_000315,PALMERA B 1802-CG [dik],Trade name for a specific stearic acid
452,digitrubber#DIGITRUBBER_000316,accelerator [dik],compounding ingredient used in small amounts with a vulcanizing agent to increase the speed of vulcanization and/or enhance the physical properties of the vulcanizate
453,digitrubber#DIGITRUBBER_000317,primary accelerator [dik],principal accelerator used in a vulcanizing system
454,digitrubber#DIGITRUBBER_000318,secondary accelerator [dik],accelerator used in low concentrations with the primary accelerator to optimize cure rate and vulcanizate properties
455,digitrubber#DIGITRUBBER_000321,di(benzothiazol-2-yl)disulfide [chebi],"An organic disulfide resulting from the formal oxidative coupling of the thiol groups of two molecules of 1,3-benzothiazole-2-thiol. It is used as an accelerator in the rubber industry."
456,digitrubber#DIGITRUBBER_000322,Vulkacit MBTS [dik],Trade name for a specific di(benzothiazol-2-yl)disulfide
457,digitrubber#DIGITRUBBER_000325,Luvomaxx TbzTD [dik],Trade name for a specific tetrabenzylthiuramdisulfide
458,digitrubber#DIGITRUBBER_000327,dithiocarbamate [chebi],A member of the class of dithiocarbamate anions resulting from the deprotonation of both of the dithiocarbamic acid moieties of ethylenebis(dithiocarbamic acid). The major species at pH 7.3.
459,digitrubber#DIGITRUBBER_000329,Rhenogran ‎ZBDC 80‎ [dik],Trade name for a specific zinc dibenzyldithiocarbamate
460,digitrubber#DIGITRUBBER_000330,Vulcanizing Agent [dik],compounding ingredient that produces crosslinking in rubber
461,digitrubber#DIGITRUBBER_000331,Vulcanizing System [dik],"combination of vulcanizing agent and, as required, accelerators, activators, retarders, etc., used to produce the desired vulcanization characteristics and vulcanizate properties"
462,digitrubber#DIGITRUBBER_000332,Cure Rate [dik],rate at which a rubber compound vulcanizes after having reached the point of incipient vulcanization
463,digitrubber#DIGITRUBBER_000333,Retarder [dik],compounding ingredient used to reduce the tendency of a rubber compound to vulcanize prematurely
464,digitrubber#DIGITRUBBER_000335,PHR [dik],mass of compounding ingredient added to one hundred mass units of elastomer
465,digitrubber#DIGITRUBBER_000336,Formulation [dik],"list of compounding ingredients and their proportions, used in the preparation of a compound"
466,digitrubber#DIGITRUBBER_000337,Compounding Ingredient [dik],substance added to a rubber or rubber latex to form a mix
467,digitrubber#DIGITRUBBER_000338,Compound [dik],intimate mixture of a rubber or rubbers or other polymer-forming materials with all the ingredients necessary for the finished product
468,digitrubber#DIGITRUBBER_000341,Mill [dik],"machine with two counter-rotating rolls, frequently heated or cooled, usually driven at different speeds, and having an adjustable nip for mastication, mixing, blending, warm-up or sheeting"
469,digitrubber#DIGITRUBBER_000342,Roll [dik],"cylinder forming a major, rotating member of a calender or mill"
470,digitrubber#DIGITRUBBER_000345,Rotational Frequency [dik],A physical quality which inheres in a bearer by virtue of its speed rotating around itself.
471,digitrubber#DIGITRUBBER_000347,Rotational Frequency Unit [uo],"""A unit which is a standard measure of the number of rotations in a given time."" [NIST:NIST]"
472,digitrubber#DIGITRUBBER_000349,Frequency Unit [uo],"""A unit which is a standard measure of the number of repetitive actions in a particular time."" [NIST:NIST]"
473,digitrubber#DIGITRUBBER_000350,Frequency Unit [ncit],An indication of the type of unit of measure being used to express a number of regular events in a given time per unit of time.
474,digitrubber#DIGITRUBBER_000351,Turns per Second [dik],A rotational frequency unit which is equal to the number of completed turns in a period of time that equals to 1 second.
475,digitrubber#DIGITRUBBER_000352,Turns per Second [uo],"""A rotational frequency unit which is equal to the number complete turn in a period of time that equals to 1 second."" [NIST:NIST]"
476,digitrubber#DIGITRUBBER_000353,Turns per Minute [dik],A rotational frequency unit which is equal to the number of completed turns in a period of time that equals to 1 minute.
477,digitrubber#DIGITRUBBER_000354,Discriminant analysis [ifnano],Is a supervised classification method and it is used to build classification rules of a number of prespecified clases.
478,digitrubber#DIGITRUBBER_000358,Temperature [ncit],"A measure of the average kinetic energy of a system of particles. Temperature may be quantified, in the context of thermodynamics, as the potential of one system to transfer thermal energy to another system until both systems reach a state of thermal equilibrium."
479,digitrubber#DIGITRUBBER_000359,Temperature [pato],A physical quality of the thermal energy of a system.
480,digitrubber#DIGITRUBBER_000360,Temperature [om],Temperature is the extent to which an object is hot.
481,digitrubber#DIGITRUBBER_000361,Temperature [efo],Temperature is a physical quality of the thermal energy of a system.
482,digitrubber#DIGITRUBBER_000363,Temperature Unit [uo],"""A unit which is a standard measure of the average kinetic energy of the particles in a sample of matter."" [Wikipedia:Wikipedia]"
483,digitrubber#DIGITRUBBER_000364,Temperature Unit [ncit],An indication of the type of unit of measure being used to express a temperature.
484,digitrubber#DIGITRUBBER_000370,NIP [dik],radial clearance between the roll surfaces of a mill or calender on a line of centres
485,digitrubber#DIGITRUBBER_000371,Sheeting [dik],"Process of converting a rubber or rubber mix, rubber dough or coagulated latex into a form in which the thickness is small in proportion to the length"
486,digitrubber#DIGITRUBBER_000372,Dispersion [dik],"Distribution of one or more ingredients into a rubber, a rubber blend or a continuum material, by the application of shearing forces, in order to confer optimum and uniform properties"
487,digitrubber#DIGITRUBBER_000373,Mastication [dik],"the molecular mass of a rubber, in either the raw or the mixed state, by the action of mechanical work (shear) and atmospheric oxygen, sometimes assisted by peptizers and heat"
488,digitrubber#DIGITRUBBER_000374,Mastication [ncit],The process by which food is torn or crushed by the teeth.
489,digitrubber#DIGITRUBBER_000375,Mastication [hp],The process of biting and mashing food with the teeth prior to swallowing.
490,digitrubber#DIGITRUBBER_000376,Processability [dik],relative ease with which raw or compounded rubbers can be handled in rubber-processing machinery
491,digitrubber#DIGITRUBBER_000377,Mixer Device [dik],A device for mixing/blending materials or signals.
492,digitrubber#DIGITRUBBER_000378,Mixer Device [ncit],A mechanical device designed to blend materials or an electronic device designed to blend signals.
493,digitrubber#DIGITRUBBER_000379,Mechanical Mixer [dik],A mixer device designed for mechanically mixing/blending materials.
494,digitrubber#DIGITRUBBER_000380,Mechanical Mixer [ncit],A mechanical component designed to blend materials.
495,digitrubber#DIGITRUBBER_000381,Internal Mixer [dik],machine with temperature controls containing one or more rotors operating in a closed cavity used to masticate and/or to incorporate and disperse compounding ingredients into the rubber
496,digitrubber#DIGITRUBBER_000396,Torque [om],"Torque is the effectiveness of a force to produce rotation about an axis, measured by the product of the force and the perpendicular distance from the line of action of the force to the axis."
497,digitrubber#DIGITRUBBER_000402,Length [ncit],"The linear extent in space from one end of something to the other end, or the extent of something from beginning to end."
498,digitrubber#DIGITRUBBER_000403,Length [pato],A 1-D extent quality which is equal to the distance between two points.
499,digitrubber#DIGITRUBBER_000404,Length [om],"Length is the amount of space between two geographical points along a curve. It is a base quantity in the International System of Units and other systems of units. Length is speed times time. The metre, a base unit of length in the International System of Units, is defined in terms of speed of light during a certain time interval."
500,digitrubber#DIGITRUBBER_000405,Length [ms],PEFF keyword for the sequence length.
501,digitrubber#DIGITRUBBER_000407,Length Unit [uo],"""A unit which is a standard measure of the distance between two points."" [Wikipedia:Wikipedia]"
502,digitrubber#DIGITRUBBER_000408,Length Unit [ncit],An indication of the type of unit of measure being used to express a length or distance.
503,digitrubber#DIGITRUBBER_000410,millimeter [ncit],A metric unit of length equal to one thousandth of a meter (10E-3 meter) or approximately 0.03937 inch.
504,digitrubber#DIGITRUBBER_000411,millimeter [uo],"""A length unit which is equal to one thousandth of a meter or 10^[-3] m."" [NIST:NIST]"
505,digitrubber#DIGITRUBBER_000416,Power [pato],A physical quality inhering in a bearer by virtue of the bearer's rate of doing work.
506,digitrubber#DIGITRUBBER_000417,Power [om],Power is the time rate at which work is done. It is a derived quantity in the International System of Units. Power is energy divided by time.
507,digitrubber#DIGITRUBBER_000420,Filling Ratio [dik],A physical quality which inheres in a bearer by virtue of the ratio of the volume of a substance contained in the bearer and the bearer's own volume.
508,digitrubber#DIGITRUBBER_000422,batch [dik],Product of one mixing operation
509,digitrubber#DIGITRUBBER_000423,batch [ncit],"A quantity of people or things treated or regarded as a group, especially when subdivided from a larger group."
510,digitrubber#DIGITRUBBER_000424,Extruder [dik],"machine which, through the use of a screw or a hydraulic ram, continuously shapes a material by forcing it through a die or dies"
511,digitrubber#DIGITRUBBER_000428,Screw [dik],"rotating member with one or more helical grooves, used to propel rubber along the barrel of an extruder"
512,digitrubber#DIGITRUBBER_000429,Die [dik],"that part of an extruder through which material is forced, forming a profile of the extrudate"
513,digitrubber#DIGITRUBBER_000430,Extrudate [dik],product of an extrusion process
514,digitrubber#DIGITRUBBER_000431,Extruder Head [dik],that part of an extruder which houses the die and die holder
515,digitrubber#DIGITRUBBER_000432,Extrusion [dik],continuous shaping of a material by passage through a die
516,digitrubber#DIGITRUBBER_000433,Extrusion [rex],"A transformation in which an atom or group Y connected to two other atoms or groups X and Z is lost from a molecule, leading to a product in which X is bonded to Z, e.g. X-Y-Z --> X-Z + Y."
517,digitrubber#DIGITRUBBER_000434,Extrusion [chmo],A process used to create objects of a fixed cross-sectional profile by forcing or drawing a material through a die.
518,digitrubber#DIGITRUBBER_000435,Die Swell [dik],"difference between the dimensions of the cross-section of an extrudate and the corresponding dimensions of the die orifice, usually quantified as the percentage increase in the crosssectional area"
519,digitrubber#DIGITRUBBER_000442,Surface [ncit],The extended two-dimensional outer boundary of a three-dimensional object.
520,digitrubber#DIGITRUBBER_000447,Pressure [pato],A physical quality that inheres in a bearer by virtue of the bearer's amount of force per unit area it exerts.
521,digitrubber#DIGITRUBBER_000448,Pressure [om],Pressure is the force applied to or distributed over a surface. It is a derived quantity in the International System of Units. Pressure is force divided by area.
522,digitrubber#DIGITRUBBER_000452,Sensor [sosa],"Device, agent (including humans), or software (simulation) involved in, or implementing, a Procedure. Sensors respond to a stimulus, e.g., a change in the environment, or input data composed from the results of prior Observations, and generate a Result. Sensors can be hosted by Platforms."
523,digitrubber#DIGITRUBBER_000453,Sensor [chmo],A piece of apparatus that is used to measure a physical quantity.
524,digitrubber#DIGITRUBBER_000475,Crosslink Density [dik],number of crosslinks per unit volume or unit mass of vulcanizate
525,digitrubber#DIGITRUBBER_000476,Vulcanizate [dik],product of the vulcanization of a rubber compound
526,digitrubber#DIGITRUBBER_000477,Crosslink [dik],chemical bond or atom(s) joining two rubber chains or two parts of the same rubber chain as a result of vulcanization
527,digitrubber#DIGITRUBBER_000478,Crosslink [ncit],Any covalent linkage between two polymers or between two different regions of the same polymer.
528,digitrubber#DIGITRUBBER_000479,Crosslinking [dik],〈act of〉 insertion of crosslinks between or within rubber chains to give a network structure
529,digitrubber#DIGITRUBBER_000480,State of Cure [dik],"condition of a vulcanizate during the course of vulcanization, measured in terms of its structure or properties"
530,digitrubber#DIGITRUBBER_000481,Vulcanization [dik],"process, usually involving heat, in which rubber, through a change in its chemical structure (for example, crosslinking), is converted to a condition in which the elastic properties are conferred or re-established or improved or extended over a greater range of temperatures"
531,digitrubber#DIGITRUBBER_000482,autoclave [dik],pressurized vessel used for vulcanizing rubber in a vapour or gas
532,digitrubber#DIGITRUBBER_000484,autoclave [chmo],A thick-walled steel vessel used during synthesis methods that require both high pressures and high temperatures.
533,digitrubber#DIGITRUBBER_000485,Plateau Cure [dik],type of vulcanization during which the modulus of the vulcanizate proceeds to a maximum and then remains essentially constant for a substantial period at the vulcanization temperature
534,digitrubber#DIGITRUBBER_000486,Optimum Cure [dik],condition of vulcanization required to achieve an acceptable compromise among a number of desired vulcanizate properties or the optimum value of a selected property
535,digitrubber#DIGITRUBBER_000487,Overcure [dik],state of vulcanization beyond the optimum cure
536,digitrubber#DIGITRUBBER_000488,Undercure [dik],state of vulcanization less than the optimum cure
537,digitrubber#DIGITRUBBER_000489,Sample [dik],one or more items taken from a lot and intended to provide information on the lot and possibly to serve as a basis for a decision on the lot or on the process which had produced it
538,digitrubber#DIGITRUBBER_000490,Sample [sosa],Feature which is intended to be representative of a FeatureOfInterest on which Observations may be made.
539,digitrubber#DIGITRUBBER_000491,Sample [nmrcv],tempdef: A sample is a role that is played by an object of interest in an investigation used to obtain generalizable information about the sample source. defprov: Daniel Schober
540,digitrubber#DIGITRUBBER_000492,Test Piece [dik],"piece of material of appropriate shape and size, prepared so that it is ready for use in a test"
541,digitrubber#DIGITRUBBER_000493,Scrap Rubber [dik],"raw, compounded, vulcanized or partially vulcanized rubber in the form of end-of-life rubber products or factory scrap"
542,digitrubber#DIGITRUBBER_000494,Factory Scrap [dik],"raw, compounded, vulcanized or partially vulcanized rubber rejected or generated as waste during product manufacture and found unsuitable for further use unless recycled"
543,digitrubber#DIGITRUBBER_000496,Physical Object Quality [pato],A quality of a physical entity that exists through action of continuants at the physical level of organisation in relation to other entities.
544,digitrubber#DIGITRUBBER_000498,Physical Quality [pato],A quality which inheres in a continuant.
545,digitrubber#DIGITRUBBER_000500,Measurement Unit Label [pato],A measurement unit label is as a label that is part of a scalar measurement datum and denotes a unit of measure.
546,digitrubber#DIGITRUBBER_000502,Datum Label [iao],A label is a symbol that is part of some other datum and is used to either partially define the denotation of that datum or to provide a means for identifying the datum as a member of the set of data with the same label
547,digitrubber#DIGITRUBBER_000504,assay [ncit],A qualitative or quantitative analysis performed to determine the amount of a particular constituent in a sample or the biological or pharmacological properties of a drug.
548,digitrubber#DIGITRUBBER_000505,assay [obi],"A planned process with the objective to produce information about the material entity that is the evaluant, by physically examining it or its proxies."
549,digitrubber#DIGITRUBBER_000506,Density Measurement Assay [dik],"An assay with the objective to produce information about the density of the material entity that is the evaluant, by physically examining it or its proxies."
550,digitrubber#DIGITRUBBER_000507,Mass Density [dik],"mass per unit volume of a material, including any voids present"
551,digitrubber#DIGITRUBBER_000508,Mass Density [ncit],"A measure of the compactness of a substance, expressed as its mass per unit volume."
552,digitrubber#DIGITRUBBER_000509,Mass Density [pato],A physical quality which inheres in a bearer by virtue of some influence is exerted by the bearer's mass per unit size.
553,digitrubber#DIGITRUBBER_000511,Mass Density Unit [uo],"""A density unit which is a standard measure of the mass of a substance in a given volume."" [UOC:GVG]"
554,digitrubber#DIGITRUBBER_000512,Unit Of Mass Density [ncit],An indication of the type of unit of measure being used to express a mass density.
555,digitrubber#DIGITRUBBER_000514,Gram Per Cubic Centimeter [uo],"""A mass unit density which is equal to mass of an object in grams divided by the volume in cubic centimeters."" [UOC:GVG]"
556,digitrubber#DIGITRUBBER_000515,Viscosity Measurement Assay [dik],"An assay with the objective to produce information about the viscosity of the material entity that is the evaluant, by physically examining it or its proxies."
557,digitrubber#DIGITRUBBER_000516,Mooney Viscosity Measurement Assay [dik],"An assay with the objective to produce information about the Mooney viscosity of the material entity that is the evaluant, by physically examining it or its proxies."
558,digitrubber#DIGITRUBBER_000518,Viscosity [ncit],The resistance of a liquid to sheer forces and flow.
559,digitrubber#DIGITRUBBER_000519,Viscosity [pato],A physical quality of a fluid inhering in a bearer by virtue of the bearer's disposition to internal resistance to flow.
560,digitrubber#DIGITRUBBER_000520,Mooney Viscosity [dik],"measure of the viscosity of a raw rubber or rubber compound, determined using a Mooney shearing-disc viscometer"
561,digitrubber#DIGITRUBBER_000522,Viscosity Unit [uo],"""A unit which is a standard measure of the internal resistance of fluids to flow."" [UOC:GVG]"
562,digitrubber#DIGITRUBBER_000523,Mooney Viscosity Unit [dik],A viscosity unit which is a standard measure of the Mooney viscosity.
563,digitrubber#DIGITRUBBER_000526,Quality of a Substance [pato],A quality inhering in a bearer by virtue of its constitution.
564,digitrubber#DIGITRUBBER_000528,Quality of a Liquid [pato],"A physical quality inhering in an entity exhibiting the physical characteristics of an amorphous (non-crystalline) form of matter between a gas and a solid that has a definite volume, but no definite shape."
565,digitrubber#DIGITRUBBER_000530,Protocol [ncit],A rule which guides how an activity should be performed.
566,digitrubber#DIGITRUBBER_000531,Protocol [obi],"A plan specification which has sufficient level of detail and quantitative information to communicate it between investigation agents, so that different investigation agents will reliably be able to independently reproduce the process."
567,digitrubber#DIGITRUBBER_000532,Protocol [edam],A human-readable collection of information about about how a scientific experiment or analysis was carried out that results in a specific set of data or results used for further analysis or to test a specific hypothesis.
568,digitrubber#DIGITRUBBER_000533,Measurement Protocol [dik],"A protocol which specifies the conditions, procedures, and instruments used for conducting a measurement assay in a sufficient level of detail to communicate it between investigation agents, so that different investigation agents will reliably be able to independently reproduce the measurement assay."
569,digitrubber#DIGITRUBBER_000534,Material Processing Protocol [dik],"A protocol which specifies the conditions, procedures, and instruments used for conducting a material processing in a sufficient level of detail to communicate it between investigation agents, so that different investigation agents will reliably be able to independently reproduce the material processing."
570,digitrubber#DIGITRUBBER_000536,Density Measurement Protocol [dik],A measurement protocol for reliably reproducing the density measurement assay.
571,digitrubber#DIGITRUBBER_000537,Viscosity Measurement Protocol [dik],A measurement protocol for reliably reproducing the viscosity measurement assay.
572,digitrubber#DIGITRUBBER_000538,Mooney Viscosity Measurement Protocol [dik],A viscosity measurement protocol for reliably reproducing the Mooney viscosity measurement assay.
573,digitrubber#DIGITRUBBER_000540,Degree Celsius [ncit],A unit of temperature of the temperature scale designed so that the freezing point of water is 0 degrees and the boiling point is 100 degrees at standard atmospheric pressure. The current official definition of the Celsius sets 0.01 C to be at the triple point of water and a degree to be 1/273.16 of the difference in temperature between the triple point of water and absolute zero. One degree Celsius represents the same temperature difference as one Kelvin. [ NCI ]
574,digitrubber#DIGITRUBBER_000541,Degree Celsius [uo],"""A temperature unit which is equal to one kelvin degree. However, they have their zeros at different points. The centigrade scale has its zero at 273.15 K."" [NIST:NIST]"
575,digitrubber#DIGITRUBBER_000542,Degree Celsius [om],The degree Celsius is a unit of temperature defined as 1 kelvin. The degree Celsius is a derived unit in the International System of Units.
576,digitrubber#DIGITRUBBER_000544,Material Processing [obi],A planned process which results in physical changes in a specified input material
577,digitrubber#DIGITRUBBER_000546,Function [ncit],The normal action performed by a structure or device.
578,digitrubber#DIGITRUBBER_000547,Function [mi],Biological function of a participant or of an interaction.
579,digitrubber#DIGITRUBBER_000549,Device [ncit],An object contrived for a specific purpose.
580,digitrubber#DIGITRUBBER_000550,Device [obi],"A material entity that is designed to perform a function in a scientific investigation, but is not a reagent."
581,digitrubber#DIGITRUBBER_000552,Measurement Device [ncit],Any device used to determine the dimension of an object.
582,digitrubber#DIGITRUBBER_000553,Measurement Device [obi],A device in which a measure function inheres.
583,digitrubber#DIGITRUBBER_000555,Processed Material [obi],Is a material entity that is created or changed during material processing.
584,digitrubber#DIGITRUBBER_000557,Mixing [chmo],"The combining of components, particles or layers into a more homogeneous state. The mixing may be achieved manually or mechanically by shifting the material with stirrers or pumps or by revolving or shaking the container. The process μst not permit segregation of particles of different size or properties. Homogeneity may be considered to have been achieved in a practical sense when the sampling error of the processed portion is negligible compared to the total error of the measurement system. [ https://doi.org/10.1351/goldbook.M03945 ]"
585,digitrubber#DIGITRUBBER_000558,mix,To bring or combine together or with something else; add as an additional element or part.
586,digitrubber#DIGITRUBBER_000559,Iodine Adsorption Number [dik],Number of grams of iodine adsorbed per kilogram of carbon black under specified conditions
